ID,Label,Type
131,"340, Kifisias Avenue, Neo Psychiko, 154 51 Athens, Greece",address
132,"37, Vouliagmenis Avenue & Asklipiou Street, Glyfada 166 75 Athens, Greece",address
133,44 20 7409 1514,phone number
134,44 20 7437 4937,phone number
135,441 292 1373,phone number
136,441 295 8313,phone number
137,"7-9 Akti Miaouli Str, GR-18535 Piraeus, Greece",address,137
138,80 Broad Street,address
139,"88, Vouliagmenis Avenue, Elliniko, 167 77 Athens, Greece",address
140,"9 Park Place St. James's, London SW1A 1LP , United Kingdom",address
141,Acon Shipping,company
142,Affair Shipping,company
143,Alma Maritime Ltd,company
144,Amanda Ent Ltd,company
145,Amanda Enterprises Ltd,company
146,AMCIC CAPE HOLDINGS LLC,company
147,Anaco Shipping,company
148,Apollo Sea Transport,company
149,Apostolos Kontoyannis,person
150,Archipelagos Sea Carriers Ltd,company
151,Argon S.A.,company
152,Arkadia Lines,company
153,Arkadia Lines SA,company
154,Arlex Shipping,company
155,Arotra Marine,company
156,Athlomar Shipping & Trading Co Ltd,company
157,Atlantic Carriers SA,company
158,Atlantica Compania Comercial,company
159,Azof Marine,company
160,B N Coulouthros-Embiricos,person
161,B Paraskevopoulos,person
162,B+H Maritime Carriers,company
163,Barbara & Bird Acquisition,company
164,Barbara Shipco LLC,company
165,Barland Holdings Inc,company
166,Becalm Shipping,company
167,Becalm Shipping Company Limited,company
168,Bird Acquisition Corp,company
169,Boston Industries S.A,company
170,Box Shipping Ltd,company
171,Braver Shipping,company
172,Bridem Shipping,company
173,"Building 3, 262, Kifisias Avenue, Kifisia, 145 62 Athens, Greece",address
174,Calver Shipping,company
175,Candy Enterprises Inc,company
176,Cape Elise Ltd,company
177,Cape Fritz Ltd,company
178,Cape Leonidas Ltd,company
179,Cape Maria Ltd,company
180,Cape Maria Maritime Ltd,company
181,Castalia Services Ltd,company
182,Centel Shipping Co Ltd,company
183,Chalet Shipping,company
184,Christine Shipco LLC,company
185,Christopher Georgakis,person
186,Christos Anagnostou,person
187,Christy G Peters,person
188,Civil Shipping,company
189,CL Louloudis,person
190,Coal Age Shipco LLC,company
191,Coal Glory Shipco LLC,company
192,Coal Gypsy Shipco LLC,company
193,Coal Hunter Shipco LLC,company
194,Coal Pride Shipco LLC,company
195,Constant & Constant,law firm
196,Coral Sea Shipping Co Ltd,company
197,Corbin J Roberston III,person
198,Corbin J Robertson Jr,person
199,Costas Moulopoulos,person
200,Cotzias Shipping,company
201,Coulouthros Ltd,company
202,Crown Resources A.G.,company
203,Cyclades Sea Transport Ltd,company
204,Daeyang Shipping Co Ltd,company
205,Dafrex Shipping,company
206,Dancia Shipping,company
207,Danem Shipping,company
208,Davia Shipping,company
209,Deborah L. Paterson,person
210,Demplomar Shipping,company
211,Denlord Shipping,company
212,Dimitrios Express Shipping,company
213,Divinia Shipping,company
214,Dolstead Shipping,company
215,Donex Shipping,company
216,Dramled Shipping,company
217,E Coulouthros,person
218,Effie Coulouthros,person
219,EFFIE COULOUTHROS PARASKEVOPOULOS,person
220,Effie P. Pasakeyopoulou,person
221,Effie Paraskevopoulou,person
222,Efi Coulouthros-Moulopo,person
223,Eleftherios Papatrifon,person
224,Elihu I. Rose,person
225,Empire Bulkers Ltd,company
226,Empire Navigation Inc,company
227,Ernst & Young,law firm
228,Evangelos Macris,person
229,Excel Maritime Carriers,company
229,Excel Maritime Carriers,law firm
230,Fanlight Shipping,company
231,Fearless Shipco LLC,company
232,Fearless Shipco/Bird Acq,company
233,Ferler Shipping,company
234,Fianna Navigation S.A.,company
235,Fianna Navigation SA,company
236,Filia Maritime,company
237,Fiorella Navigation,company
238,Flacker Shipping,company
239,Fountain Services Ltd,company
240,Freeways Shipping,company
241,Frithjof Platou,person
242,Gabriel Panayotides,person
243,George Agadakis,person
244,George Alevizos,person
245,George Boulas,person
246,Georgina E. Sousa,person
247,Georgios Agadakis,person
248,Grain Express Shipco LLC,company
249,Grain Harvester Shipco LLC,company
250,Greenpoint Marine,company
251,Hans J Mende,person
252,Hariklea Kekebanou,person
253,Harvard Marine,company
254,Harvey Development Corp,company
255,Headline Shipping,company
256,"Heathcoat House, 20, Savile Row, London, W1X 2BD, United Kingdom",address
257,Hope Shipco LLC,company
258,Ince Services,law firm
259,Ingram Limited,company
260,Ingram Ltd,company
261,Interfence Shipping,company
262,Interocean Carriers,company
263,Interocean Carriers Corporation,company
264,Iron Anne Shipco LLC,company
265,Iron Beauty Shipco LLC,company
266,Iron Bill Shipco LLC,company
267,Iron Bradyn Shipco LLC,company
268,Iron Brooke Shipco LLC,company
269,Iron Endurance Shipco LLC,company
270,Iron Fuzeyya Shipco LLC,company
271,Iron Kalypso Shipco LLC,company
272,Iron Knight Shipco LLC,company
273,Iron Lindrew Shipco LLC,company
274,Iron Man Shipco LLC,company
275,Iron Manolis Shipco LLC,company
276,Iron Miner Shipco LLC,company
277,Iron Vassilis Shipco LLC,company
278,J Pandelidis,person
279,JA COULOUTHROS,person
280,JF Clarkson,person
281,John A. Coulouthros,person
282,John Anthony Coulouthros,person
283,John Coulouthros,person
284,John Hatzis,person
285,Jorge Luis Lopez Sors,person
286,Joseph R Edwards,person
287,Kadia Lines Ltd,company
288,Kerk Navigation,company
289,King Coal Shipco LLC,company
290,King Coal/Bird Acquisition ,company
291,Kirmar Shipco LLC,company
292,L Mantzaris,person
293,Laurel Sea Transport,company
294,Laurel Sea Transport Ltd,company
295,Laurel Sea Transport Naftiki Eteria,company
296,Lenport Shipping,company
297,Liegh Jane Navigation S.A.,company
298,Liegh Jane Navigation SA,company
299,Lillie Shipco LLC,company
300,Linda Leah Shipco LLC,company
301,Lokman Shipping,company
302,Loucas Mantzaris,person
303,Lowlands Beilun Shipco LLC,company
304,Lukas Mantzaris,person
305,M Odysseos Shipmanagement Ltd,company
306,Madlex Shipping,company
307,Madlex Shipping Company Limited,company
308,Magalie Investments Corp,company
309,Malissa SCTT,company
310,Mare Shipping Incorporated,company
311,Marias Trading Inc,company
312,Marina Liouta,person
313,Marinsigne Armadora SA,company
314,Marytank Shipping,company
315,Maryville Maritime Inc,company
316,Maryville Maritime Inc ,company
317,Megistanas Shipping,company
318,Melba Management Ltd,company
319,Merchant Shipping in Spain,company
320,Michael Baker-Harber,person
321,Michael Margetis,person
322,Minta Holdings S.A.,company
323,Mistral Shipping,company
324,MJ Baker-Harber,person
325,Moltop Shipping,company
326,N B Maroulis,person
327,N. Cotzias Shipping Group,company
328,Naia Development Corp,company
329,Naxos Shipping,company
330,Ncs North China Shipping Co Ltd BVI,company
331,Neptunea Astro Oceanico SA,company
332,Nicolas Bornozis,person
333,Nikos Arkadis,person
334,Nikos Frantzeskakis,person
335,Nikos Papamichalis,person
336,Oceanaut Inc,company
337,Oceanfree Marine,company
338,Oceanways Carriers SA,company
339,Odell International Ltd,company
340,Odysseos Shipmanagement,company
341,Olympos Trading Corp,company
342,Ore Hansa Shipco LLC,company
343,Orestis Vamvatsioulas,person
344,"Par La Ville Place, 14, Par la Ville Road, Hamilton, HM 08, Bermuda",address
345,Parifi Shipping,company
346,Parma Services Inc,company
347,Paros Shipping,company
348,Pascha Shipco LLC,company
349,Paul Cornell,person
350,Pavlos Kanellopoulos,person
351,Pelagos Sea Shipping Ltd,company
352,Pelagos Sea Transport Ltd,company
353,Pisces Shipholding Ltd,company
354,Point Holdings Ltd,company
355,Portland Trading Inc,company
356,Portland-Wickham Enterprises,company
357,Poseidon Express II NE,company
358,Prestige,ship
359,Quintana Management LLC,company
360,Quintana Maritime Ltd,company
361,Reginald Albemarle Parkin,person
362,Roselyn Silkes,person
363,Rustica Shipping,company
364,Samaina Shipping,company
365,Sandra Shipco LLC,company
366,Santa Barbara Shipco LLC,company
367,Seabright Shipping,company
368,Seatral Shipping,company
369,Seaworld Maritime Ltd,company
370,Sentinel Shipping,company
371,Seward & Kissel,law firm
372,Shipping Lace,company
373,Snapper Marine Ltd,company
374,Soft Holdings SA,company
375,Stamatis Molaris,person
376,Standard Ocean Carriers SA,company
377,Star Trident II LLC,company
378,Stelner Shipping,company
379,Stentil Shipping/Diabeg,company
380,Stephen Askins,person
381,Steve Putman,person
382,Stopler Shipping,company
383,Storler Shipping Company Limited,company
384,SUEZ AMBER LIMITED,company
385,SUEZ CRYSTAL LIMITED,company
386,SUEZ DIAMOND LIMITED,company
387,SUEZ EMERALD LIMITED,company
388,Suez Fuzeyya Ltd,company
389,Suez Hans Ltd,company
390,SUEZ JADE LIMITED,company
391,Suez Jade Ltd,company
392,SUEZ PEARL LIMITED,company
393,Suez Pearl Ltd,company
394,Suez Rajan Ltd,company
395,SUEZ RUBY LIMITED,company
396,SUEZ TOPAZ LIMITED,company
397,SUEZ TURQUOISE LIMITED,company
398,Suez Vasilis Ltd,company
399,T Kokkinos,person
400,Tanaka Services Ltd,company
401,Teagan Shipholding S.A.,company
402,Teagan Shipholding SA,company
403,Theodoros Kokkinos,person
404,Tortola Shipping,company
405,Tortola Shipping Company Limited,company
406,Transfield Er Capeltd BV,company
407,Trevor J. Williams,person
408,Tsibanoulis & Partners,law firm
409,Universe Maritime Ltd,company
410,universe1@ath.forthnet.gr,email address
411,Uraine J Coulouthros,person
412,Urania Coulouthros,person
413,Valdoro Compania Naviera SA,company
414,Valdoro Shipping Company,company
415,Vassilis Koutsolakos,person
416,Villy Panayotides,person
417,Votam Shipping,company
418,Vytina Maritime Shipping Co,company
419,Weaver Navigation,company
420,Welsen Shipping,company
421,Whitelaw Enterprises Co,company
422,Yasmine International Inc,company
