Source,Target,Type,Sourcename,Relationship,Targetname,Reference,Strength,Notes,Entity 1 Types,Entity 2 Types,From,Until
8,152,Undirected,7302885,was group owned by,Arkadia Lines,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=arkadia%20lines&OWCODE=1304971,5,,ship,company,11/16/90,1993-06-00
8,152,Undirected,7302885,was group owned by,Arkadia Lines,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=arkadia%20lines&OWCODE=1304971,5,,ship,company,12/23/93,9/1/00
8,152,Undirected,7302885,was operated by,Arkadia Lines,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=arkadia%20lines&OWCODE=1304971,5,,ship,company,1994-00-00,1/1/00
8,152,Undirected,7302885,was shipmanaged by,Arkadia Lines,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=arkadia%20lines&OWCODE=1304971,5,,ship,company,1994-00-00,1/1/00
9,152,Undirected,7350507,was group owned by,Arkadia Lines,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=arkadia%20lines&OWCODE=1304971,5,,ship,company,6/1/94,6/1/97
10,409,Undirected,7370832,was DOC held by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,7/21/98,2/12/01
10,409,Undirected,7370832,was DOC held by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,2/12/01,2/3/06
10,409,Undirected,7370832,was group owned by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,1980-99-99,
10,409,Undirected,7370832,was operated by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,9/6/94,
10,409,Undirected,7370832,was shipmanaged by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,9/6/94,
11,201,Undirected,7370909,was group owned by,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0535269,5,,ship,company,1980-99-99,3/18/93
12,409,Undirected,7370911,was group owned by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,1980-99-99,4/25/95
13,201,Undirected,7370935,was group owned by,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0535269,5,,ship,company,1980-99-99,3/25/93
14,201,Undirected,7372086,was operated by,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0535269,5,,ship,company,1980-99-99,
14,201,Undirected,7372086,was shipmanaged by,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0535269,5,,ship,company,1980-99-99,
15,201,Undirected,7372098,was operated by,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0535269,5,,ship,company,1980-99-99,
15,201,Undirected,7372098,was shipmanaged by,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0535269,5,,ship,company,1980-99-99,
16,409,Undirected,7372141,was DOC held by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,7/19/01,6/19/06
16,409,Undirected,7372141,was group owned by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,1989-02-00,6/1/94
16,409,Undirected,7372141,was group owned by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,3/22/05,
16,409,Undirected,7372141,was operated by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,2002-99-99,
16,409,Undirected,7372141,was shipmanaged by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,2002-99-99,
16,294,Undirected,7372141,was group owned by,Laurel Sea Transport Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=laurel%20sea%20transport&OWCODE=0148403,5,,ship,company,6/1/95,2/1/98
16,294,Undirected,7372141,was operated by,Laurel Sea Transport Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=laurel%20sea%20transport&OWCODE=0148403,5,,ship,company,1994-00-00,2002-99-99
16,294,Undirected,7372141,was shipmanaged by,Laurel Sea Transport Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=laurel%20sea%20transport&OWCODE=0148403,5,,ship,company,1994-00-00,2002-99-99
16,358,Undirected,7372141,is,Prestige,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=laurel%20sea%20transport&OWCODE=0148403,5,,ship,ship,,
17,201,Undirected,7373573,was operated by,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0535269,5,,ship,company,1980-99-99,
17,201,Undirected,7373573,was shipmanaged by,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0535269,5,,ship,company,1980-99-99,
18,409,Undirected,7378690,was DOC held by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,12/2/02,10/23/03
18,409,Undirected,7378690,was group owned by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,1989-99-99,2003-00-00
18,409,Undirected,7378690,was operated by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,5/20/94,2003-00-00
18,409,Undirected,7378690,was shipmanaged by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,5/20/94,2003-00-00
19,201,Undirected,7378987,was group owned by,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0535269,5,,ship,company,1990-01-00,12/1/02
19,201,Undirected,7378987,was operated by,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0535269,5,,ship,company,1990-01-00,1/1/02
19,201,Undirected,7378987,was shipmanaged by,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0535269,5,,ship,company,1990-01-00,1/1/02
20,201,Undirected,7381506,was operated by,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0535269,5,,ship,company,1989-00-00,
20,201,Undirected,7381506,was shipmanaged by,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0535269,5,,ship,company,1989-00-00,
21,201,Undirected,7523063,was group owned by,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0535269,5,,ship,company,1980-99-99,6/1/92
22,409,Undirected,7525944,was group owned by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,1980-99-99,
23,201,Undirected,7527540,was group owned by,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0535269,5,,ship,company,1980-99-99,6/22/92
24,409,Undirected,7613076,was group owned by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,1980-99-99,6/1/93
25,201,Undirected,7627247,was group owned by,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0535269,5,,ship,company,6/1/90,4/27/92
26,201,Undirected,7627259,was group owned by,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0535269,5,,ship,company,6/1/90,5/6/92
27,409,Undirected,7902582,was group owned by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,6/1/97,3/1/03
27,409,Undirected,7902582,was operated by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,8/28/97,2003-02-00
27,409,Undirected,7902582,was shipmanaged by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,8/28/97,2003-02-00
28,409,Undirected,8005094,was group owned by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,1989-01-00,3/1/03
28,409,Undirected,8005094,was operated by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,1994-06-00,2003-01-00
28,409,Undirected,8005094,was shipmanaged by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,1994-06-00,2003-01-00
29,409,Undirected,8014265,was group owned by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,1/1/99,2/13/08
29,409,Undirected,8014265,was operated by,Universe Maritime Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=universe%20maritime&OWCODE=1262815,5,,ship,company,1991-00-00,2003-03-00
31,201,Undirected,8028747,was group owned by,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0535269,5,,ship,company,1980-99-99,11/15/94
34,294,Undirected,8304086,was group owned by,Laurel Sea Transport Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=laurel%20sea%20transport&OWCODE=0148403,5,,ship,company,8/16/89,8/16/89
101,102,Undirected,"141, Filonos & Filellinon Streets, 185 36 Piraeus, Greece",is,"141, Filonos Street, Piraeus, Greece",,,,address,address,,
148,152,Undirected,Apollo Sea Transport,is a subsidiary of,Arkadia Lines,,,,company,company,,
150,294,Undirected,Archipelagos Sea Carriers Ltd,is a subsidiary of,Laurel Sea Transport Ltd,,,,company,company,,
152,294,Undirected,Arkadia Lines,has the same contact info as ,Laurel Sea Transport Ltd,,,,company,company,,
152,106,Undirected,Arkadia Lines,address is,"215, Kifisias Avenue, Marousi, 151 24 Athens, Greece",http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=1304971,,,company,address,,
152,114,Undirected,Arkadia Lines,phone number is,30 210 612 3402,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=1304971,,,company,phone number,,
152,115,Undirected,Arkadia Lines,phone number is,30 210 612 3461,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=1304971,,,company,phone number,,
152,111,Undirected,Arkadia Lines,phone number is,30 210 422 2127,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=1304971,,,company,phone number,,
152,116,Undirected,Arkadia Lines,fax number is,30 210 612 6206,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=1304971,,,company,phone number,,
152,117,Undirected,Arkadia Lines,fax number is,30 210 612 6207,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=1304971,,,company,phone number,,
152,153,Undirected,Arkadia Lines,is,Arkadia Lines SA,,10,,company,company,,
156,101,Undirected,Athlomar Shipping & Trading Co Ltd,has address,"141, Filonos & Filellinon Streets, 185 36 Piraeus, Greece",http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=athlomar&OWCODE=0665157,,,company,address,,
156,107,Undirected,Athlomar Shipping & Trading Co Ltd,phone number is,30 210 2453 8437,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=coulouthros&OWCODE=0801416,,,company,phone number,,
157,294,Undirected,Atlantic Carriers SA,is a subsidiary of,Laurel Sea Transport Ltd,,,,company,company,,
160,201,Undirected,B N Coulouthros-Embiricos,is director of,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=coulouthros&OWCODE=0535269,5,,person,company,,
161,294,Undirected,B Paraskevopoulos,was the Catering director/Manager of,Laurel Sea Transport Ltd,I think it's from Lloyd's! No longer have access to page...,,,person,company,,
184,146,Undirected,Christine Shipco LLC,was a subsidiary of ,AMCIC CAPE HOLDINGS LLC,,,,company,company,,
186,158,Undirected,CHRISTOS ANAGNOSTOU,is on the Board of directors of ,Atlantica Compania Comercial,,,,person,company,,
186,158,Undirected,Christos Anagnostou,was director of,Atlantica Compania Comercial,http://datatracker.org/data/panama/records-1-50000/record_25653.html,,,person,company,,
187,158,Undirected,Christy G Peters,"was ""subscriber"" of",Atlantica Compania Comercial,http://datatracker.org/data/panama/records-1-50000/record_25653.html,,,person,company,,
189,201,Undirected,CL Louloudis,is director of,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=coulouthros&OWCODE=0535269,5,,person,company,,
196,294,Undirected,Coral Sea Shipping Co Ltd,is a subsidiary of,Laurel Sea Transport Ltd,,,,company,company,,
199,218,Undirected,Costas Moulopoulos,is the ex/husband of ,Effie Coulouthros,,,,person,person,,
199,152,Undirected,Costas Moulopoulos,managed,Arkadia Lines,"""Owners Remain Veiled"" article in TradeWindsNews http://www.tradewindsnews.com/weekly/178391/owners-remain-veiled",,,person,company,,
200,112,Undirected,Cotzias Shipping,phone number is,30 210 422 2660,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0517673,,,company,phone number,,
200,113,Undirected,Cotzias Shipping,fax number is,30 210 422 2678,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0517673,,,company,phone number,,
201,256,Undirected,Coulouthros Ltd,address is,"Heathcoat House, 20, Savile Row, London, W1X 2BD, United Kingdom",http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=coulouthros&OWCODE=0535269,5,,company,address,,
201,134,Undirected,Coulouthros Ltd,phone number is,44 20 7437 4937,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=coulouthros&OWCODE=0535269,5,,company,phone number,,
202,358,Undirected,Crown Resources A.G.,was the charterer of,Prestige,http://www.tradewindsnews.com/incoming/article263404.ece5/binary/Spain%20v%20ABS%20amended%20complaint%20%281.3MB%29,,Alleged charterer?,company,ship,,
203,294,Undirected,Cyclades Sea Transport Ltd,is a subsidiary of,Laurel Sea Transport Ltd,,,,company,company,,
208,152,Undirected,Davia Shipping,is a subsidiary of,Arkadia Lines,,,,company,company,,
212,152,Undirected,Dimitrios Express Shipping,is a subsidiary of,Arkadia Lines,,,,company,company,,
217,294,Undirected,E Coulouthros,is Chairman of ,Laurel Sea Transport Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0148403,,Operator/Group owner/Shipmanager of the Prestige in Sea-web,person,company,,
219,158,Undirected,EFFIE COULOUTHROS PARASKEVOPOULOS,is the Treasurer of ,Atlantica Compania Comercial,,,,person,company,,
219,158,Undirected,EFFIE COULOUTHROS PARASKEVOPOULOS,is the Secretary of ,Atlantica Compania Comercial,,,,person,company,,
219,158,Undirected,EFFIE COULOUTHROS PARASKEVOPOULOS,is on the Board of directors of ,Atlantica Compania Comercial,,,,person,company,,
219,218,Undirected,EFFIE COULOUTHROS PARASKEVOPOULOS,is alias of,Effie Coulouthros,,,,person,person,,
219,218,Undirected,Effie Coulouthros Paraskevopoulos,is,Effie Coulouthros,,,,,,,
222,218,Undirected,Efi Coulouthros-Moulopo,is,Effie Coulouthros,,,,,,,
222,294,Undirected,Efi Coulouthros-Moulopo,was the chairman of,Laurel Sea Transport Ltd,I think it's from Lloyd's! No longer have access to page...,,,person,company,,
224,103,Undirected,Elihu I. Rose,presented and returned,"145 Hudson Street, 8A, New York, NY",https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2013081900366001,5,,person,address,,
236,152,Undirected,Filia Maritime,is a subsidiary of,Arkadia Lines,,,,company,company,,
240,152,Undirected,Freeways Shipping,is a subsidiary of,Arkadia Lines,,,,company,company,,
244,409,Undirected,George Alevizos,was technical director at,Universe Maritime Ltd,**,,"TESTIFIED AGAINST UNIVERSE, said they were responsible",person,company,,
252,130,Undirected,Hariklea Kekebanou,phone number is,30 211 102 4022,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=5489554,,,person,phone number,,
257,146,Undirected,Hope Shipco LLC,was a subsidiary of ,AMCIC CAPE HOLDINGS LLC,,,,company,company,,
262,369,Undirected,Interocean Carriers,after 1991 became,Seaworld Maritime Ltd,,,,company,company,,
278,152,Undirected,J Pandelidis,is the managing director of,Arkadia Lines,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=1304971,,,person,company,,
279,158,Undirected,JA COULOUTHROS,is on the Board of directors of ,Atlantica Compania Comercial,,,,person,company,,
279,158,Undirected,JA COULOUTHROS,Is the President of,Atlantica Compania Comercial,,,,person,company,,
279,281,Undirected,JA COULOUTHROS,is alias of,John A. Coulouthros,,,,person,person,,
280,201,Undirected,JF Clarkson,is director of,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=coulouthros&OWCODE=0535269,5,,person,company,,
281,218,Undirected,John A. Coulouthros,is the father of ,Effie Coulouthros,,,,person,person,,
281,282,Undirected,John A. Coulouthros,is,John Anthony Coulouthros,,,,person,person,,
283,102,Undirected,John Coulouthros,address is,"141, Filonos Street, Piraeus, Greece",http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=coulouthros&OWCODE=0801416,,"Listed as a company that owns no ships, has no contact info, is all blank except for address",person,address,,
284,409,Undirected,John Hatzis,spokesperson/lawyer for the,Universe Maritime Ltd,https://global-factiva-com.ezproxy.cul.columbia.edu/ha/default.aspx#./!?&_suid=1429570059865040349544072523713,,,person,company,,
285,319,Undirected,Jorge Luis Lopez Sors,Head of,Merchant Shipping in Spain,http://www.sghn.org/Normativa_ambiental/Medio_marino/Sentencia_Prestige_castellano.pdf,,,person,company,,
287,294,Undirected,Kadia Lines Ltd,is a subsidiary of,Laurel Sea Transport Ltd,,,,company,company,,
292,294,Undirected,L Mantzaris,was Operations director of,Laurel Sea Transport Ltd,I think it's from Lloyd's! No longer have access to page...,,,person,company,,
292,302,Undirected,L Mantzaris,might be,Loucas Mantzaris,,,,person,person,,
293,152,Undirected,Laurel Sea Transport,is a subsidiary of,Arkadia Lines,,,,company,company,,
294,358,Undirected,Laurel Sea Transport Ltd,is operator of ,Prestige,,,,company,ship,,
294,106,Undirected,Laurel Sea Transport Ltd,address is,"215, Kifisias Avenue, Marousi, 151 24 Athens, Greece",http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0148403,,,company,address,,
294,140,Undirected,Laurel Sea Transport Ltd,had this London Office,"9 Park Place St. James's, London SW1A 1LP , United Kingdom",I think it's from Lloyd's! No longer have access to page...,,,company,address,,
294,133,Undirected,Laurel Sea Transport Ltd,had this London phone number,44 20 7409 1514,I think it's from Lloyd's! No longer have access to page...,,,company,phone number,,
295,294,Undirected,Laurel Sea Transport Naftiki Eteria,is full name of,Laurel Sea Transport Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=laurel%20sea%20transport&OWCODE=1252544,,This is the Laurel Sea Transport listed as subsidiary of Arkadia Lines,company,company,,
299,146,Undirected,Lillie Shipco LLC,was a subsidiary of ,AMCIC CAPE HOLDINGS LLC,,,,company,company,,
302,414,Undirected,Loucas Mantzaris,was a director of,Valdoro Shipping Company,http://datatracker.org/data/panama/records-1-50000/record_28417.html,,,person,company,,
302,157,Undirected,Loucas Mantzaris,was a director of,Atlantic Carriers SA,http://datatracker.org/data/panama/records-1-50000/record_25651.html,,May have nothing to do with Atlantica Compania...,person,company,,
302,263,Undirected,Loucas Mantzaris,was a director of,Interocean Carriers Corporation,http://datatracker.org/data/panama/records-1-50000/record_27617.html,,,person,company,,
304,294,Undirected,Lukas Mantzaris,is Managing director of ,Laurel Sea Transport Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0148403,,,person,company,,
310,358,Undirected,Mare Shipping Incorporated,Registered owner of ,Prestige,,,,company,ship,,
310,409,Undirected,Mare Shipping Incorporated,is a subsidiary of,Universe Maritime Ltd,,,,company,company,,
312,219,Undirected,Marina Liouta,lawyer of ,Effie Coulouthros Paraskevopoulos,,,,person,person,,
312,408,Undirected,Marina Liouta,is lawyer at,Tsibanoulis & Partners,http://www.tsibanoulis.gr/lawyers/marina-d-liouta,,,person,law firm,,
313,294,Undirected,Marinsigne Armadora SA,is a subsidiary of,Laurel Sea Transport Ltd,,,,company,company,,
317,152,Undirected,Megistanas Shipping,is a subsidiary of,Arkadia Lines,,,,company,company,,
320,201,Undirected,Michael Baker-Harber,is the lawyer for ,Coulouthros Ltd,,,,person,company,,
321,409,Undirected,Michael Margetis,Captain/Operation manager of ,Universe Maritime Ltd,http://www.sghn.org/Normativa_ambiental/Medio_marino/Sentencia_Prestige_castellano.pdf,,,person,company,,
324,201,Undirected,MJ Baker-Harber,is director of,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=coulouthros&OWCODE=0535269,5,,person,company,,
326,201,Undirected,N B Maroulis,is director of,Coulouthros Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=coulouthros&OWCODE=0535269,5,,person,company,,
327,111,Undirected,N. Cotzias Shipping Group,phone number is,30 210 422 2127,http://mobile.cargoyellowpages.com/greece/piraeus/company/7623,,,company,phone number,,
327,113,Undirected,N. Cotzias Shipping Group,fax number is,30 210 422 2678,http://mobile.cargoyellowpages.com/greece/piraeus/company/7623,,,company,phone number,,
327,137,Undirected,N. Cotzias Shipping Group,address is,"7-9 Akti Miaouli Str, GR-18535 Piraeus, Greece",http://mobile.cargoyellowpages.com/greece/piraeus/company/7623,,,company,address,,
329,152,Undirected,Naxos Shipping,is a subsidiary of,Arkadia Lines,,,,company,company,,
329,104,Undirected,Naxos Shipping,address is,"15, Aristidou Street, 185 31 Piraeus, Greece",http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0081251,5,,company,address,,
329,108,Undirected,Naxos Shipping,phone number is,30 210 411 0948,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0081251,5,,company,phone number,,
329,110,Undirected,Naxos Shipping,phone number is,30 210 417 0616,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0081251,5,,company,phone number,,
329,109,Undirected,Naxos Shipping,phone number is,30 210 412 8928,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&OWCODE=0081251,5,,company,phone number,,
331,294,Undirected,Neptunea Astro Oceanico SA,is a subsidiary of,Laurel Sea Transport Ltd,,,,company,company,,
338,294,Undirected,Oceanways Carriers SA,is a subsidiary of,Laurel Sea Transport Ltd,,,,company,company,,
341,294,Undirected,Olympos Trading Corp,is a subsidiary of,Laurel Sea Transport Ltd,,,,company,company,,
343,156,Undirected,Orestis Vamvatsioulas,is director of,Athlomar Shipping & Trading Co Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=coulouthros&OWCODE=0801416,,,person,company,,
347,152,Undirected,Paros Shipping,is a subsidiary of,Arkadia Lines,,,,company,company,,
351,294,Undirected,Pelagos Sea Shipping Ltd,is a subsidiary of,Laurel Sea Transport Ltd,,,,company,company,,
